Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Armageddon,Armageddon - The 1st Album,aespa,2024-05-27,108,147.4,32942304,1262,26204483,74.0,57861795,1257935,0,0,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,109,146.6,1911559785,317345,87765033,78.0,441257231,4829633,4930490,561201008,4574447121
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,110,145.3,2014959725,354831,87942438,70.0,1003346208,16856186,1750366,915814897,9558947943
Pedro,Pedro - Single,Jaxomy,2024-03-29,111,144.6,168145583,27654,159737263,85.0,35008949,717214,0,0,0
Fast Car,Gettin' Old,Luke Combs,2023-03-24,112,144.5,518988585,73116,58391498,80.0,107703759,768813,354036,74258021,924204888
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,2024-01-07,113,144.0,247399972,22222,13870528,80.0,389540239,4392933,0,22950364,296522040
Aesthetic,Aesthetic,Tollan Kim,2022-03-04,114,144.0,5712985,2311,535908,44.0,3120073,56276,20114495,2452502310,33870791454
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,116,143.9,3358704125,392082,123917182,79.0,2763188773,19410390,2714134,178829434,1597453878
Hands,Hands,Dianï¿½,2022-08-01,115,143.9,126914,8,212,1.0,2435813922,7208467,33,188,6415
Saturn,Saturn - Single,SZA,2024-02-24,117,142.8,343090427,21104,154253718,87.0,38173339,349660,0,0,0
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,2024-06-04,118,142.4,0,0,0,63.50158061116965,39323383,44223,0,0,0
Believer,Believer,Imagine Dragons,2017-01-31,119,142.2,3006226762,335880,89243475,81.0,4495059988,42240881,5745117,453132709,5876458723
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,2022-04-27,120,141.0,787155930,183850,58397185,77.0,357772653,2590835,931660,95662104,836550889
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,121,139.5,532605345,128534,31725858,81.0,97958347,1237197,322900,108595670,947194801
ANDO,ANDO,Jere Klein,2023-09-27,122,139.0,292789738,28591,30905957,72.0,406307035,809942,1900606,68341852,872862858
First Class,First Class,Jack Harlow,2022-04-08,123,138.6,818858244,223609,49586777,71.0,231229581,2756840,1610614,624748318,6890780336
FE!N,UTOPIA,Travis Scott,2023-07-28,124,137.8,659010786,129923,93969186,86.0,125203447,1990342,22100,13787343,107398826
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,2023-03-03,125,137.7,3913988,545,1054122,40.0,1577017938,9304666,0,0,0
